Location,Movie Name,Timing,Href,Genre,Language,Rating,Runtime,Opening,Occupied Regular,Not Occupied Regular,Occupied Couple,Not Occupied Couple,Occupied Wheelchair,Not Occupied Wheelchair,Occupied Wave,Not Occupied Wave,Total Occupied,Total Not Occupied
Century Square,Ne-Zha-2-PG13,2025-03-10T11:45:00,https://www.cathaycineplexes.com.sg/ticketing/1113/13218,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,3,97,2,2,0,2,0,4,5,105
Downtown East,Mickey-17-M18,2025-03-10T11:45:00,https://www.cathaycineplexes.com.sg/ticketing/1106/118056,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,1,67,0,40,0,1,0,0,1,108
JEM,Ne-Zha-2-PG13,2025-03-10T12:00:00,https://www.cathaycineplexes.com.sg/ticketing/1110/201709,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,3,171,4,32,0,1,0,0,7,204
Causeway Point,Ne-Zha-2-PG13,2025-03-10T12:10:00,https://www.cathaycineplexes.com.sg/ticketing/1102/154349,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,15,187,8,34,0,2,0,0,23,223
Causeway Point,Mobile-Suit-Gundam-GQuuuuuuX--Beginning-PG13,2025-03-10T12:10:00,https://www.cathaycineplexes.com.sg/ticketing/1102/154368,"Anime, Action, Sci-Fi",Japanese,"PG13, Brief Nudity and Battle Scenes",82 mins,27 Feb 2025,1,131,4,30,0,0,0,0,5,161
Downtown East,Ne-Zha-2-PG13,2025-03-10T12:20:00,https://www.cathaycineplexes.com.sg/ticketing/1106/118052,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,0,124,0,44,0,2,0,0,0,170
Causeway Point,Nosferatu-M18,2025-03-10T12:25:00,https://www.cathaycineplexes.com.sg/ticketing/1102/154379,"Horror, Mystery",English,"M18, Nudity and Sexual Scene",132 mins,27 Feb 2025,4,125,0,30,0,0,0,0,4,155
Clementi 321,Ne-Zha-2-PG13,2025-03-10T12:30:00,https://www.cathaycineplexes.com.sg/ticketing/1114/6025,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,27,95,0,0,0,2,0,0,27,97
JEM,Ne-Zha-2-PG13,2025-03-10T12:30:00,https://www.cathaycineplexes.com.sg/ticketing/1110/201785,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,3,171,6,30,0,1,0,0,9,202
Clementi 321,Mickey-17-M18,2025-03-10T12:30:00,https://www.cathaycineplexes.com.sg/ticketing/1114/6010,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,4,58,1,19,0,2,0,0,5,79
Clementi 321,Close-Ur-Kopitiam-PG13,2025-03-10T12:30:00,https://www.cathaycineplexes.com.sg/ticketing/1114/6021,"Drama, Comedy",Mandarin,"PG13, Some Sexual References",106 mins,27 Feb 2025,11,37,0,12,0,2,0,0,11,51
Causeway Point,Ne-Zha-2-PG13,2025-03-10T12:40:00,https://www.cathaycineplexes.com.sg/ticketing/1102/154374,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,13,131,4,40,0,0,0,0,17,171
Century Square,Ne-Zha-2-PG13,2025-03-10T12:45:00,https://www.cathaycineplexes.com.sg/ticketing/1113/13227,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,3,97,0,10,0,2,0,4,3,113
Clementi 321,Mobile-Suit-Gundam-GQuuuuuuX--Beginning-PG13,2025-03-10T12:45:00,https://www.cathaycineplexes.com.sg/ticketing/1114/6014,"Anime, Action, Sci-Fi",Japanese,"PG13, Brief Nudity and Battle Scenes",82 mins,27 Feb 2025,0,48,0,12,0,2,0,0,0,62
Downtown East,Nosferatu-M18,2025-03-10T12:45:00,https://www.cathaycineplexes.com.sg/ticketing/1106/118060,"Horror, Mystery",English,"M18, Nudity and Sexual Scene",132 mins,27 Feb 2025,0,96,0,40,0,1,0,0,0,137
